scenario,condition,method,distribution_aware,epsilon,inflation,seed,time_s,speed_ms,min_dist_m,min_ttc_s,collision_count,ade,fde
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,0,19.900000000000013,2.0020780033555754,4.0488273155301,2.0791268650404513,0,2.191179500444128,3.910268259304726
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,1,19.500000000000007,3.0074026250529142,3.7406074469346415,1.3651874524348726,0,2.221796707444226,3.96719477516941
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,2,19.900000000000013,2.0266867270463917,4.000640166495507,1.9386560192618316,0,2.2003837262320975,3.937225697617282
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,3,18.599999999999994,3.1543953730144603,3.455499073517297,1.085851087942187,0,2.2696196556461987,4.054260155021629
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,4,19.70000000000001,2.9661072516887343,3.6058389826274833,1.4750300323547065,0,2.199991868077407,3.9310465874751648
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,5,18.599999999999994,3.1713551109964104,3.3545484269450663,1.0250241115047827,0,2.277717874133156,4.077226079776886
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,6,19.900000000000013,2.0388352617980807,4.15260807364651,1.953866307050431,0,2.198488825406716,3.9191875218771783
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,7,18.499999999999993,3.1842787858603923,3.408993284398528,1.065956667036859,0,2.2833307359483173,4.086344397125558
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,8,19.900000000000013,2.0716901309878653,4.14970883756031,1.9225630772438265,0,2.188794475097236,3.902684180876003
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,9,19.900000000000013,2.9057587935651368,3.3434696868007725,1.110625651663665,0,2.1965108738202312,3.918673691944516
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,10,18.599999999999994,3.159576205407776,3.425845039750269,1.060461261960276,0,2.2664051582274523,4.055766405934481
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,11,18.29999999999999,3.220146572688351,3.329679375057305,1.0233511802168223,0,2.275397082511402,4.076019813638642
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,12,19.900000000000013,2.0551785763424384,4.385340528963793,1.7327134854249333,0,2.1979035530395143,3.9186809447954727
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,13,19.900000000000013,2.690325279519409,2.7469610921521226,0.959572937207289,0,2.189093624152221,3.9096676195901843
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,14,19.900000000000013,2.0436161679412894,4.167674292749545,1.928514563060313,0,2.2026057677804696,3.929563056031101
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,15,18.29999999999999,3.1980307471254603,3.0937826976989258,0.9141360156629559,0,2.2750272018118993,4.071926671888739
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,16,19.900000000000013,2.8972508853177112,3.1469059333377993,1.024068601396127,0,2.1915714780905,3.9040203510791662
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,17,19.900000000000013,2.4805046732337392,3.749521932706805,1.3045201260451564,0,2.194279300927513,3.9115983814200157
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,18,18.19999999999999,3.2256218889582726,3.183579264114793,0.9444203302910796,0,2.285612937493227,4.097147127885707
scenario_01,lstm_robust_eps0.0,lstm,True,0.0,1.0,19,18.39999999999999,3.1912350350685417,3.3206732955550877,1.0182305000415572,0,2.2784347007429044,4.072687240590994
scenario_01,lstm_single,lstm,False,0.0,1.0,0,17.799999999999983,3.2996658281158986,3.0758516217381766,0.9930804953623733,0,2.2989123792126436,4.134120829395146
scenario_01,lstm_single,lstm,False,0.0,1.0,1,17.899999999999984,3.2816125041873367,3.177357186945362,1.0639705322449686,0,2.3032357679378745,4.13965274485614
scenario_01,lstm_single,lstm,False,0.0,1.0,2,19.1,3.0719245916584956,3.5077097812801874,1.2874821873544366,0,2.2458071823162253,4.023142485431832
scenario_01,lstm_single,lstm,False,0.0,1.0,3,17.899999999999984,3.282401940326779,3.1819771218846937,1.0657206740681255,0,2.2990678749207105,4.123237348795776
scenario_01,lstm_single,lstm,False,0.0,1.0,4,17.899999999999984,3.2771679891817453,3.157209518259105,1.0607312268253495,0,2.2915203258947265,4.1182278720435885
scenario_01,lstm_single,lstm,False,0.0,1.0,5,19.200000000000003,3.042342690512346,2.5762139830512893,1.3889651029018695,0,2.243199009549558,4.009387121488132
scenario_01,lstm_single,lstm,False,0.0,1.0,6,17.999999999999986,3.2642938858657646,3.114135799230121,1.0560208149742532,0,2.3010054129040456,4.1231825539283244
scenario_01,lstm_single,lstm,False,0.0,1.0,7,19.1,3.07188291883542,3.5121958250778524,1.2898001766386047,0,2.2489361384221325,4.016588975440652
scenario_01,lstm_single,lstm,False,0.0,1.0,8,19.1,3.0626223248553717,3.5509943405091726,1.3151010847627165,0,2.2334465185609877,3.987281066452112
scenario_01,lstm_single,lstm,False,0.0,1.0,9,19.1,3.0636075881732814,3.5432460328282023,1.3100974325681254,0,2.2422585534416295,4.001477045967204
scenario_01,lstm_single,lstm,False,0.0,1.0,10,17.799999999999983,3.30351076882685,3.0681013563969675,0.9852170930322842,0,2.298665555866461,4.131772668065077
scenario_01,lstm_single,lstm,False,0.0,1.0,11,17.999999999999986,3.2687683498125373,3.122364365040945,1.0518718277410655,0,2.288235106040569,4.106295828479549
scenario_01,lstm_single,lstm,False,0.0,1.0,12,19.60000000000001,3.006859980062416,3.51758160306775,1.576662238832526,0,2.213991238081111,3.948705334729829
scenario_01,lstm_single,lstm,False,0.0,1.0,13,17.799999999999983,3.287597711312416,3.1138936972942273,1.0261275214912262,0,2.296374913398606,4.126028513785774
scenario_01,lstm_single,lstm,False,0.0,1.0,14,17.899999999999984,3.2735503172528966,3.1174921328718406,1.0381248772109029,0,2.310104460570716,4.146786701426876
scenario_01,lstm_single,lstm,False,0.0,1.0,15,17.799999999999983,3.3110894170184073,3.086581972672495,0.9913516290989923,0,2.2958326390955386,4.122089207049277
scenario_01,lstm_single,lstm,False,0.0,1.0,16,17.999999999999986,3.2734551724146743,3.2076189950738785,1.0809523334645865,0,2.2931061357962252,4.105745143974685
scenario_01,lstm_single,lstm,False,0.0,1.0,17,18.099999999999987,3.2532626256618604,3.2818192931495243,1.1313947528925914,0,2.289563462634391,4.101475160430731
scenario_01,lstm_single,lstm,False,0.0,1.0,18,17.899999999999984,3.291418107131634,3.088448643176556,1.0087190104922605,0,2.2999248170799382,4.128683811159863
scenario_01,lstm_single,lstm,False,0.0,1.0,19,17.899999999999984,3.277350578555111,3.15112750422442,1.0486778697805885,0,2.2992113336668067,4.122175578709655
scenario_01,sgan_robust_eps0.0,sgan,True,0.0,1.0,0,19.0,3.103809348551312,3.4494686221970445,1.2145192932809632,0,2.363809343768037,4.239523186326641
scenario_01,sgan_robust_eps0.0,sgan,True,0.0,1.0,1,19.0,3.1007169368044125,3.446324748737196,1.2100689484374634,0,2.370571888349549,4.256188817166432
scenario_01,sgan_robust_eps0.0,sgan,True,0.0,1.0,2,18.9,3.0913203977997887,3.4274621495328415,1.1907419706071412,0,2.3859865061538557,4.280886306194871
