scenario,condition,metric,delta_vs_base,p
scenario_01,sgan_single_inf1.10,min_dist_m,0.7323110854733921,2.999192303500086e-07
scenario_01,sgan_single_inf1.10,min_ttc_s,0.46307319054745655,1.081424530053447e-07
scenario_01,sgan_single_inf1.10,time_s,0.9900000000000162,2.426691476494799e-05
scenario_01,sgan_single_inf1.20,min_dist_m,0.7741315170472882,1.6167887296564168e-08
scenario_01,sgan_single_inf1.20,min_ttc_s,0.5234098844363653,1.3339112592218025e-11
scenario_01,sgan_single_inf1.20,time_s,1.0800000000000125,6.6339106906656025e-06
scenario_01,sgan_single_inf1.35,min_dist_m,0.7619492378226482,1.3774985006395783e-12
scenario_01,sgan_single_inf1.35,min_ttc_s,0.4438214728619956,8.36944383138601e-11
scenario_01,sgan_single_inf1.35,time_s,0.9950000000000117,1.9014165350077558e-05
scenario_01,sgan_single_inf1.50,min_dist_m,0.5795432418015016,5.297223514194109e-07
scenario_01,sgan_single_inf1.50,min_ttc_s,0.34344961075159475,2.5684953133901052e-05
scenario_01,sgan_single_inf1.50,time_s,0.7550000000000061,0.0008711257506933011
scenario_01,sgan_robust_eps0.0,min_dist_m,0.17011589548916994,0.020636685385421058
scenario_01,sgan_robust_eps0.0,min_ttc_s,0.21983263772445927,0.023049094097748173
scenario_01,sgan_robust_eps0.0,time_s,0.3500000000000014,0.09306006770466847
scenario_01,lstm_single,min_dist_m,-0.07850036452165288,0.23593727627231123
scenario_01,lstm_single,min_ttc_s,-0.05090059758621002,0.22899783893472359
scenario_01,lstm_single,time_s,-0.5150000000000112,0.027477602194752256
scenario_01,lstm_robust_eps0.0,min_dist_m,0.30443883411684114,0.008188865477392403
scenario_01,lstm_robust_eps0.0,min_ttc_s,0.1571897719689037,0.11361892445341747
scenario_01,lstm_robust_eps0.0,time_s,0.4750000000000014,0.05404852390890529
scenario_02,sgan_single_inf1.10,min_dist_m,0.057329216868168276,0.051626889979571065
scenario_02,sgan_single_inf1.10,min_ttc_s,-0.012833284138231593,0.6964648354752024
scenario_02,sgan_single_inf1.10,time_s,0.28500000000000014,2.2483787626141128e-05
scenario_02,sgan_single_inf1.20,min_dist_m,0.0884178766808692,0.01774887148837674
scenario_02,sgan_single_inf1.20,min_ttc_s,-0.0076061619029164085,0.8218996992702038
scenario_02,sgan_single_inf1.20,time_s,0.060000000000002274,0.8072180159308749
scenario_02,sgan_single_inf1.35,min_dist_m,0.17866261155798613,0.00618408127280337
scenario_02,sgan_single_inf1.35,min_ttc_s,-0.004402968411385211,0.9328924074634848
scenario_02,sgan_single_inf1.35,time_s,1.8100000000000236,0.001211456838733192
scenario_02,sgan_single_inf1.50,min_dist_m,0.17578693391706302,0.0003879339056408025
scenario_02,sgan_single_inf1.50,min_ttc_s,0.09165184271261306,0.03964794827939721
scenario_02,sgan_single_inf1.50,time_s,2.885000000000037,6.2106802764755596e-06
scenario_02,sgan_robust_eps0.0,min_dist_m,0.15583143496211416,8.163006090595044e-05
scenario_02,sgan_robust_eps0.0,min_ttc_s,-0.009608305891690483,0.7752692849047349
scenario_02,sgan_robust_eps0.0,time_s,0.045000000000001705,0.7012802125411753
scenario_02,lstm_single,min_dist_m,0.11163707606051676,0.0002116097128345499
scenario_02,lstm_single,min_ttc_s,0.07996419743095395,0.00907838737733231
scenario_02,lstm_single,time_s,-0.120000000000001,0.031241280930632203
scenario_02,lstm_robust_eps0.0,min_dist_m,0.19434679968407953,6.974874290165552e-06
scenario_02,lstm_robust_eps0.0,min_ttc_s,0.010128599080911682,0.7903014301623316
scenario_02,lstm_robust_eps0.0,time_s,0.33500000000000796,0.16374599115234995
scenario_03,sgan_single_inf1.10,min_dist_m,-0.02250418637600582,0.5897977916323713
scenario_03,sgan_single_inf1.10,min_ttc_s,0.004402279952478105,1.4111353659906324e-08
scenario_03,sgan_single_inf1.10,time_s,0.2750000000000057,0.0024701570133983265
scenario_03,sgan_single_inf1.20,min_dist_m,0.06074077472047357,0.24187160287664403
scenario_03,sgan_single_inf1.20,min_ttc_s,0.034046703718615845,0.049086082107698534
scenario_03,sgan_single_inf1.20,time_s,0.6500000000000057,0.0006829547948083495
scenario_03,sgan_single_inf1.35,min_dist_m,0.1818181918434143,0.000804243450528085
scenario_03,sgan_single_inf1.35,min_ttc_s,0.2525456850579133,9.182328817325506e-16
scenario_03,sgan_single_inf1.35,time_s,3.170000000000048,6.940245665939767e-28
scenario_03,sgan_single_inf1.50,min_dist_m,0.4405573765699362,0.0035118743601383236
scenario_03,sgan_single_inf1.50,min_ttc_s,0.30413628898483736,1.0697869235830179e-25
scenario_03,sgan_single_inf1.50,time_s,3.560000000000052,4.779984678256382e-17
scenario_03,sgan_robust_eps0.0,min_dist_m,0.5015774881898185,2.8837046245932317e-12
scenario_03,sgan_robust_eps0.0,min_ttc_s,0.0061181771467403445,5.012579066094606e-08
scenario_03,sgan_robust_eps0.0,time_s,1.0000000000000142,2.2984230361509087e-14
scenario_03,lstm_single,min_dist_m,0.31841240586576713,3.8626827547283843e-07
scenario_03,lstm_single,min_ttc_s,0.0017316808941809647,0.003481398874693585
scenario_03,lstm_single,time_s,0.8350000000000151,1.3403311907990407e-06
scenario_03,lstm_robust_eps0.0,min_dist_m,1.3148839396822476,4.776658125887444e-10
scenario_03,lstm_robust_eps0.0,min_ttc_s,0.19409507781495638,6.750264541120158e-06
scenario_03,lstm_robust_eps0.0,time_s,4.07500000000006,7.587501939434302e-09
