metric,aggregation,method,value,n_scenes
ade,unweighted_5scene,cv,0.5340326687079555,5
ade,unweighted_5scene,lstm,0.45871057327449494,5
ade,unweighted_5scene,sgan,0.5090009667109566,5
ade,weighted_5scene,cv,0.481554256076963,5
ade,weighted_5scene,lstm,0.49497986096166335,5
ade,weighted_5scene,sgan,0.6377739068718091,5
ade,unweighted_no_eth,cv,0.3986763098866016,4
ade,unweighted_no_eth,lstm,0.4136652799077203,4
ade,unweighted_no_eth,sgan,0.46584979514283387,4
ade,weighted_no_eth,cv,0.4751578007512959,4
ade,weighted_no_eth,lstm,0.4934299030830383,4
ade,weighted_no_eth,sgan,0.63730183078267,4
ade,scene:eth,cv,1.075458103993371,1
ade,scene:hotel,cv,0.3193555965675379,1
ade,scene:univ,cv,0.5241898179362064,1
ade,scene:zara1,cv,0.4272228623414675,1
ade,scene:zara2,cv,0.3239369627011944,1
ade,scene:eth,lstm,0.6388917467415938,1
ade,scene:hotel,lstm,0.46256401593390634,1
ade,scene:univ,lstm,0.5564468912397869,1
ade,scene:zara1,lstm,0.33047554857242417,1
ade,scene:zara2,lstm,0.30517466388476355,1
ade,scene:eth,sgan,0.6816056529834477,1
ade,scene:hotel,sgan,0.423944565675067,1
ade,scene:univ,sgan,0.7456121270399245,1
ade,scene:zara1,sgan,0.341279198866537,1
ade,scene:zara2,sgan,0.3525632889898068,1
fde,unweighted_5scene,cv,1.1475951101134534,5
fde,unweighted_5scene,lstm,0.9175153687787727,5
fde,unweighted_5scene,sgan,0.980548277137504,5
fde,weighted_5scene,cv,1.066782390180997,5
fde,weighted_5scene,lstm,1.0427320396559034,5
fde,weighted_5scene,sgan,1.2803161827579552,5
fde,unweighted_no_eth,cv,0.8640213636124164,4
fde,unweighted_no_eth,lstm,0.8668194438640578,4
fde,unweighted_no_eth,sgan,0.9380982154003017,4
fde,weighted_no_eth,cv,1.053695453323852,4
fde,weighted_no_eth,lstm,1.0418966282739301,4
fde,weighted_no_eth,sgan,1.2817159587071956,4
fde,scene:eth,cv,2.2818900961176003,1
fde,scene:hotel,cv,0.6141975978013845,1
fde,scene:univ,cv,1.1650966528096154,1
fde,scene:zara1,cv,0.9523768296954755,1
fde,scene:zara2,cv,0.7244143741431902,1
fde,scene:eth,lstm,1.1202990684376328,1
fde,scene:hotel,lstm,0.9806459949822492,1
fde,scene:univ,lstm,1.1789216997722924,1
fde,scene:zara1,lstm,0.6689083087860668,1
fde,scene:zara2,lstm,0.6388017719156224,1
fde,scene:eth,sgan,1.1503485240863136,1
fde,scene:hotel,sgan,0.855268410499967,1
fde,scene:univ,sgan,1.4981892826274066,1
fde,scene:zara1,sgan,0.6838061001904998,1
fde,scene:zara2,sgan,0.7151290682833329,1
ade_per_agent,unweighted_5scene,cv,0.5340326687079554,5
ade_per_agent,unweighted_5scene,lstm,0.3328692185881258,5
ade_per_agent,unweighted_5scene,sgan,0.3632490688369827,5
ade_per_agent,weighted_5scene,cv,0.4815542560769629,5
ade_per_agent,weighted_5scene,lstm,0.27791354240141636,5
ade_per_agent,weighted_5scene,sgan,0.3602142210688916,5
ade_per_agent,unweighted_no_eth,cv,0.3986763098866015,4
ade_per_agent,unweighted_no_eth,lstm,0.2667628260443424,4
ade_per_agent,unweighted_no_eth,sgan,0.2958994715730173,4
ade_per_agent,weighted_no_eth,cv,0.47515780075129577,4
ade_per_agent,weighted_no_eth,lstm,0.27447374674867464,4
ade_per_agent,weighted_no_eth,sgan,0.35728006424420544,4
ade_per_agent,scene:eth,cv,1.075458103993371,1
ade_per_agent,scene:hotel,cv,0.3193555965675379,1
ade_per_agent,scene:univ,cv,0.5241898179362063,1
ade_per_agent,scene:zara1,cv,0.4272228623414674,1
ade_per_agent,scene:zara2,cv,0.3239369627011945,1
ade_per_agent,scene:eth,lstm,0.5972947887632593,1
ade_per_agent,scene:hotel,lstm,0.36752904720872104,1
ade_per_agent,scene:univ,lstm,0.2963215846148401,1
ade_per_agent,scene:zara1,lstm,0.2130412111064744,1
ade_per_agent,scene:zara2,lstm,0.19015946124733418,1
ade_per_agent,scene:eth,sgan,0.6326474578928443,1
ade_per_agent,scene:hotel,sgan,0.32510606252946317,1
ade_per_agent,scene:univ,sgan,0.40417083356743894,1
ade_per_agent,scene:zara1,sgan,0.2347461287759863,1
ade_per_agent,scene:zara2,sgan,0.21957486141918095,1
fde_per_agent,unweighted_5scene,cv,1.1475951101134534,5
fde_per_agent,unweighted_5scene,lstm,0.6184653379471811,5
fde_per_agent,unweighted_5scene,sgan,0.6445396963038793,5
fde_per_agent,weighted_5scene,cv,1.066782390180997,5
fde_per_agent,weighted_5scene,lstm,0.5167071560111252,5
fde_per_agent,weighted_5scene,sgan,0.6453166852420815,5
fde_per_agent,unweighted_no_eth,cv,0.8640213636124164,4
fde_per_agent,unweighted_no_eth,lstm,0.5175676235439348,4
fde_per_agent,unweighted_no_eth,sgan,0.5488011651253036,4
fde_per_agent,weighted_no_eth,cv,1.053695453323852,4
fde_per_agent,weighted_no_eth,lstm,0.5112644525050196,4
fde_per_agent,weighted_no_eth,sgan,0.6412005661361697,4
fde_per_agent,scene:eth,cv,2.2818900961176003,1
fde_per_agent,scene:hotel,cv,0.6141975978013845,1
fde_per_agent,scene:univ,cv,1.1650966528096154,1
fde_per_agent,scene:zara1,cv,0.9523768296954755,1
fde_per_agent,scene:zara2,cv,0.7244143741431902,1
fde_per_agent,scene:eth,lstm,1.022056195560166,1
fde_per_agent,scene:hotel,lstm,0.7805570944079294,1
fde_per_agent,scene:univ,lstm,0.5479682393753527,1
fde_per_agent,scene:zara1,lstm,0.38635204715064625,1
fde_per_agent,scene:zara2,lstm,0.3553931132418108,1
fde_per_agent,scene:eth,sgan,1.0274938210181823,1
fde_per_agent,scene:hotel,sgan,0.6473264060198053,1
fde_per_agent,scene:univ,sgan,0.7211583945647033,1
fde_per_agent,scene:zara1,sgan,0.4329704332433315,1
fde_per_agent,scene:zara2,sgan,0.39374942667337465,1
nll,unweighted_5scene,cv,,0
nll,unweighted_5scene,lstm,2.100182060092271,5
nll,unweighted_5scene,sgan,2.6572960173683056,5
nll,weighted_5scene,cv,,0
nll,weighted_5scene,lstm,1.533390678634544,5
nll,weighted_5scene,sgan,2.8030241285822988,5
nll,unweighted_no_eth,cv,,0
nll,unweighted_no_eth,lstm,1.4142627864280912,4
nll,unweighted_no_eth,sgan,1.923134368352276,4
nll,weighted_no_eth,cv,,0
nll,weighted_no_eth,lstm,1.4977363150725218,4
nll,weighted_no_eth,sgan,2.7729654154277155,4
nll,scene:eth,cv,,1
nll,scene:hotel,cv,,1
nll,scene:univ,cv,,1
nll,scene:zara1,cv,,1
nll,scene:zara2,cv,,1
nll,scene:eth,lstm,4.84385915474899,1
nll,scene:hotel,lstm,2.91934220986146,1
nll,scene:univ,lstm,1.8061113905750212,1
nll,scene:zara1,lstm,0.6559129025129972,1
nll,scene:zara2,lstm,0.2756846427628868,1
nll,scene:eth,sgan,5.593942613432422,1
nll,scene:hotel,sgan,2.2895988125874447,1
nll,scene:univ,sgan,3.4303700950420106,1
nll,scene:zara1,sgan,1.1691738182235973,1
nll,scene:zara2,sgan,0.8033947475560504,1
