campaign,gt_label,scenario,condition,n,collisions,min_dist_mean,time_mean_cf,rms_jerk_mean,mean_accel_mean
margin,avec,scenario_01,sgan_robust_eps0.0,20,0,2.222,16.2,0.102,0.089
margin,avec,scenario_01,sgan_single_inf1.00,20,0,1.853,15.31,0.124,0.145
margin,avec,scenario_01,sgan_single_inf1.10,20,0,1.9,15.29,0.123,0.145
margin,avec,scenario_01,sgan_single_inf1.20,20,0,1.942,15.33,0.121,0.144
margin,avec,scenario_01,sgan_single_inf1.35,20,0,2.113,16.0,0.101,0.098
margin,avec,scenario_01,sgan_single_inf1.50,20,0,2.177,15.94,0.108,0.108
margin,avec,scenario_02,sgan_robust_eps0.0,20,0,1.861,17.68,0.087,0.072
margin,avec,scenario_02,sgan_single_inf1.00,20,10,1.195,25.1,2.818,0.209
margin,avec,scenario_02,sgan_single_inf1.10,20,0,1.325,26.39,2.262,0.167
margin,avec,scenario_02,sgan_single_inf1.20,20,0,1.604,26.81,0.989,0.128
margin,avec,scenario_02,sgan_single_inf1.35,20,0,1.803,23.74,0.393,0.121
margin,avec,scenario_02,sgan_single_inf1.50,20,0,2.062,23.56,0.096,0.11
margin,avec,scenario_03,sgan_robust_eps0.0,20,0,2.466,31.54,0.199,0.14
margin,avec,scenario_03,sgan_single_inf1.00,20,2,1.455,53.91,1.196,0.087
margin,avec,scenario_03,sgan_single_inf1.10,20,0,1.881,49.1,0.962,0.093
margin,avec,scenario_03,sgan_single_inf1.20,20,0,2.386,49.51,0.932,0.091
margin,avec,scenario_03,sgan_single_inf1.35,20,0,2.944,37.69,0.556,0.135
margin,avec,scenario_03,sgan_single_inf1.50,20,0,2.816,31.54,0.449,0.145
margin,calib,scenario_01,sgan_robust_eps0.0,20,0,2.242,16.2,0.103,0.089
margin,calib,scenario_01,sgan_single_inf1.00,20,0,1.85,15.28,0.124,0.146
margin,calib,scenario_01,sgan_single_inf1.10,20,0,1.9,15.29,0.123,0.147
margin,calib,scenario_01,sgan_single_inf1.20,20,0,1.944,15.33,0.121,0.144
margin,calib,scenario_01,sgan_single_inf1.35,20,0,2.127,15.97,0.102,0.101
margin,calib,scenario_01,sgan_single_inf1.50,20,0,2.187,15.87,0.11,0.114
margin,calib,scenario_02,sgan_robust_eps0.0,20,0,1.534,17.87,0.086,0.073
margin,calib,scenario_02,sgan_single_inf1.00,20,0,1.238,29.04,1.265,0.114
margin,calib,scenario_02,sgan_single_inf1.10,20,0,1.356,26.94,1.986,0.196
margin,calib,scenario_02,sgan_single_inf1.20,20,0,1.499,30.98,1.78,0.172
margin,calib,scenario_02,sgan_single_inf1.35,20,0,1.678,28.74,1.235,0.167
margin,calib,scenario_02,sgan_single_inf1.50,20,1,1.765,32.08,1.248,0.161
margin,calib,scenario_03,sgan_robust_eps0.0,20,0,2.452,31.48,0.141,0.139
margin,calib,scenario_03,sgan_single_inf1.00,20,10,1.331,59.9,1.579,0.13
margin,calib,scenario_03,sgan_single_inf1.10,20,0,1.829,53.13,0.903,0.079
margin,calib,scenario_03,sgan_single_inf1.20,20,0,2.402,49.47,0.933,0.091
margin,calib,scenario_03,sgan_single_inf1.35,20,0,2.962,38.22,0.605,0.128
margin,calib,scenario_03,sgan_single_inf1.50,20,0,2.818,31.87,0.412,0.142
margin,calib_hi,scenario_01,sgan_robust_eps0.0,10,0,2.29,16.23,0.104,0.089
margin,calib_hi,scenario_01,sgan_single_inf1.00,10,0,1.865,15.28,0.124,0.145
margin,calib_hi,scenario_01,sgan_single_inf1.10,10,0,1.937,15.28,0.123,0.145
margin,calib_hi,scenario_01,sgan_single_inf1.20,10,0,1.991,15.37,0.119,0.141
margin,calib_hi,scenario_01,sgan_single_inf1.35,10,0,2.167,15.96,0.102,0.101
margin,calib_hi,scenario_01,sgan_single_inf1.50,10,0,2.223,15.77,0.112,0.12
margin,calib_hi,scenario_02,sgan_robust_eps0.0,10,0,1.562,16.99,0.076,0.056
margin,calib_hi,scenario_02,sgan_single_inf1.00,10,0,1.265,24.34,0.667,0.084
