gt_label,scenario,cv_single,lstm_single,sgan_single_inf1.00,lstm_robust_eps0.0,sgan_robust_eps0.0,single_total,robust_total,class
avec,scenario_01,1,0,0,0,0,1,0,single-danger
avec,scenario_02,0,3,6,0,0,9,0,single-danger
avec,scenario_03,0,2,1,0,0,3,0,single-danger
calib,scenario_01,1,1,0,0,0,2,0,single-danger
calib,scenario_02,0,0,0,0,0,0,0,no-conflict
calib,scenario_03,1,3,3,1,1,7,2,mixed
calib_hi,scenario_01,0,1,1,0,0,2,0,single-danger
calib_hi,scenario_02,0,0,0,0,0,0,0,no-conflict
calib_hi,scenario_03,0,2,1,1,0,3,1,mixed
calib_lo,scenario_01,0,1,0,0,0,1,0,single-danger
calib_lo,scenario_02,0,0,1,0,0,1,0,single-danger
calib_lo,scenario_03,2,2,1,0,0,5,0,single-danger
