fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest
back_interaction_01,loco,25,1,25,1,1.218448262196033,1.6445573015138497,True,0.6473448401614946,0.8048790606920241,1.0,1.0,1.0,0.5,0.6553921860765454,1.8833653007847966,0.8058839090527373,1.0,0.9466336571432996,1.0
back_interaction_02,loco,25,1,25,1,1.1577797174453726,1.8371202945709224,True,0.6605420602944198,0.5805572400881187,1.0,1.0,,,0.43654851980083015,1.7009285782124242,0.5966635808949723,1.0,0.6326807630938399,1.0
back_interaction_03,loco,25,1,25,1,1.1473015546798702,2.0404685020446744,True,0.6539799513208956,0.7320580272758436,1.0,1.0,,,0.8786132403782542,1.5369156336464855,0.7992205887283385,1.0,0.6882816678038618,1.0
back_interaction_04,loco,25,1,25,1,1.218219757080076,1.6414432525634748,True,0.6565550564367659,0.6577877346063852,1.0,1.0,1.0,0.5,0.2591640229674319,1.9791169313538657,0.6424979363972976,1.0,0.7044783076347282,1.0
front_interaction_01,loco,25,1,25,1,1.220464250445366,1.6076774835586534,True,0.66291538680185,0.4430999093219522,1.0,1.0,,,0.396717478611854,1.8244252226598607,0.43367553273960613,1.0,0.49773893552499665,1.0
front_interaction_02,loco,25,1,25,1,1.2129409790039052,1.6383560180664052,True,0.6636450795720117,0.4639304401128409,1.0,1.0,,,0.5866777134168493,1.670583471980195,0.46357834193979885,1.0,0.5195566066033669,1.0
front_interaction_03,loco,25,1,25,1,1.1420898437499991,1.7707031249999998,True,0.6623452141440244,0.530231042806045,1.0,1.0,,,0.5830587434657425,1.6251277300487386,0.5554643635507891,1.0,0.593924113252865,1.0
front_interaction_04,loco,25,1,25,1,1.1728639386594297,1.9018269643187495,True,0.6622465504596933,0.5404040991545833,1.0,1.0,,,0.5294185780863787,1.2795845079619679,0.5843364501830923,1.0,0.5033238693393645,1.0
bidirection_normal_driving_01,loco,25,1,25,1,1.0430419921874996,1.84462890625,True,0.6638492162816851,0.5177723958565703,1.0,1.0,,,2.8172520621834507,3.5161238849412983,0.5274935273895979,1.0,0.5541032004291757,1.0
bidirection_normal_driving_02,loco,25,1,25,1,1.2256113290786743,1.587206840515137,True,0.6585080107909154,0.6058503343087424,1.0,1.0,1.0,0.5,1.385529566760216,2.045594581436094,0.571193286012159,1.0,0.690945740420361,1.0
