fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,cap_policy,cap_multiplier,obj_interaction_distance,scenario
back_interaction_01,loco,25,1,25,1,0.9725122843421594,13.965392267075341,True,1.676794299234895,2.466641971531015,1.0,1.0,1.0,0.5,1.2757720597192292,1.8833653007847966,2.5505223006082587,1.0,2.71293410920914,1.0,closedloop,1.3,,all
back_interaction_02,loco,25,1,25,1,0.2011003485163434,3802.5692569794,True,1.6778558221181217,1.5191449424955066,1.0,1.0,,,1.2255977200473653,1.7009285782124242,1.6488399773030582,1.0,1.6991738456614573,1.0,closedloop,1.3,,all
back_interaction_03,loco,25,1,25,1,0.6720413126545722,33.84342589869031,True,1.7192659848446006,1.444806702086643,1.0,1.0,,,1.526599988567112,1.5369156336464855,1.4221032306241688,1.0,1.5632162951651445,1.0,closedloop,1.3,,all
back_interaction_04,loco,25,1,25,1,0.22363422140626432,1751.4073899626628,True,1.6709090083168834,1.7224855880169234,1.0,1.0,0.6666666666666666,0.6,0.7472093117327725,1.9791169313538657,1.9048289271915675,1.0,1.9597273289459367,1.0,closedloop,1.3,,all
front_interaction_01,loco,25,1,25,1,0.9561500753508891,13.694048495590668,True,1.745379115292149,1.0006125422136296,1.0,1.0,,,0.5540730366163276,1.8244252226598607,1.2215688623764105,1.0,1.2918707860344503,1.0,closedloop,1.3,,all
front_interaction_02,loco,25,1,25,1,0.6062697044048232,35.966182358594715,True,1.723138322885936,1.267745795170116,1.0,1.0,,,1.1565390155090203,1.670583471980195,1.6053994058130105,1.0,1.69974094194984,1.0,closedloop,1.3,,all
front_interaction_03,loco,25,1,25,1,0.6145322089082197,35.74743407878131,True,1.7161949309807711,1.4965173597662471,1.0,1.0,,,1.464654553161423,1.6251277300487386,1.8432276249065518,1.0,1.9720336921443669,1.0,closedloop,1.3,,all
front_interaction_04,loco,25,1,25,1,0.6436452342604877,34.86574590462051,True,1.713988388985274,1.5548799929987793,1.0,1.0,,,0.5214076200394416,1.2795845079619679,1.8176143079752538,1.0,1.9568798861995533,1.0,closedloop,1.3,,all
bidirection_normal_driving_01,loco,25,1,25,1,0.1645941403645017,34300.46441225166,True,1.6486588217046545,1.9319567105899667,1.0,1.0,,,3.499032437595617,3.5161238849412983,1.9295525299912042,1.0,1.9325187069998173,1.0,closedloop,1.3,,all
bidirection_normal_driving_02,loco,25,1,25,1,0.9561500753508891,13.694048495590668,True,1.749440033143083,1.0314744205887674,1.0,1.0,0.5416666666666666,0.4242424242424242,0.6700996225237507,2.045594581436094,1.7177693918618386,1.0,1.9095137378378884,1.0,closedloop,1.3,,all
bidirection_normal_driving_03,loco,25,1,25,1,0.6164803440585929,35.86511554431277,True,1.7031230260544667,1.7952732294306903,1.0,1.0,,,4.233227958629345,3.131501049816212,1.7941936780862537,1.0,1.7931748319680372,1.0,closedloop,1.3,,all
bidirection_normal_driving_04,loco,25,1,25,1,0.6165139311651051,35.874741059555774,True,1.72499464856107,1.0046128208522134,1.0,1.0,,,0.6020011190912714,1.8316512159431382,1.1083350332446087,1.0,1.1574604509187933,1.0,closedloop,1.3,,all
