fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,cap_policy,cap_multiplier
back_interaction_01,loco,25,1,25,1,1.1716061592102045,1.081721687316894,True,0.6954617725457063,1.051373827119683,1.0,1.0,,,0.6149302655425548,1.8833653007847966,1.3859696731740505,1.0,0.981051291487479,1.0,uncapped,1.3
back_interaction_02,loco,25,1,25,1,1.0539554595947254,0.8967475891113279,True,0.715531255177394,0.7059360338712624,1.0,1.0,,,0.4683397132360146,1.7009285782124242,0.856301941899984,1.0,0.7099869591957593,1.0,uncapped,1.3
back_interaction_03,loco,25,1,25,1,0.8837333679199211,1.0019994735717768,True,0.7207447557023257,0.5843761687526186,1.0,1.0,,,0.7677271207936743,1.5369156336464855,0.9442931048485091,1.0,0.7001471952919919,1.0,uncapped,1.3
back_interaction_04,loco,25,1,25,1,1.1408857882022851,0.920911408960819,True,0.7077374714023272,0.8757425987268467,1.0,1.0,1.0,0.5,0.3500302830339495,1.9791169313538657,1.0897654607526415,1.0,0.8324093559601808,1.0,uncapped,1.3
front_interaction_01,loco,25,1,25,1,0.8826797485351565,0.9477684020996089,True,0.7204239622404931,0.5214894568792352,1.0,1.0,,,0.3709647190476558,1.8244252226598607,0.4877313028642197,1.0,0.5509429932609372,1.0,uncapped,1.3
front_interaction_02,loco,25,1,25,1,0.8823331451416012,0.948639678955078,True,0.7220252125225383,0.5156200678024907,1.0,1.0,,,0.5572002119254931,1.670583471980195,0.5205274552125849,1.0,0.5418378442196011,1.0,uncapped,1.3
front_interaction_03,loco,25,1,25,1,0.8826255416870119,0.9475407600402828,True,0.7201640268420454,0.5910780045357573,1.0,1.0,,,0.5245170344438582,1.6251277300487386,0.5942733524364452,1.0,0.6297393188401645,1.0,uncapped,1.3
front_interaction_04,loco,25,1,25,1,0.8941784095764159,0.9617403030395505,True,0.7251420808749274,0.48676627726996824,1.0,1.0,,,0.3653633717907323,1.2795845079619679,0.5826071158825701,1.0,0.5051365780927534,1.0,uncapped,1.3
bidirection_normal_driving_01,loco,25,1,25,1,0.8515799713134778,0.9597702026367185,True,0.7224667634819979,0.5589982351702129,1.0,1.0,,,2.7473896879955433,3.5161238849412983,0.5471046336819089,1.0,0.5731080311536488,1.0,uncapped,1.3
bidirection_normal_driving_02,loco,25,1,25,1,0.9166329956054688,0.8823677062988275,True,0.7154100649036499,0.6978916630860832,1.0,1.0,,,1.1560613343958428,2.045594581436094,0.6053431257583876,1.0,0.7405822601018811,1.0,uncapped,1.3
