fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,config,dist_metric,w_ade,w_dist,obj_interaction_distance,cap_policy,cap_multiplier,scenario
back_interaction_01,loco,25,1,25,1,0.3091497690394721,918.0625443996082,True,0.856867576005475,1.1187835182636323,1.0,1.0,,,1.0802601361248658,1.8833653007847966,0.8058839090527373,1.0,0.9466336571432996,1.0,pure,emd,0.0,1.0,,median,1.3,all
back_interaction_02,loco,25,1,25,1,0.2995227715347605,1140.8890555163202,True,0.8745827981159794,0.8826280836524578,1.0,1.0,,,0.8991316852055619,1.7009285782124242,0.5966635808949723,1.0,0.6326807630938399,1.0,pure,emd,0.0,1.0,,median,1.3,all
back_interaction_03,loco,25,1,25,1,0.3305483242029954,601.0049902704583,True,0.8377611261902336,1.5182159654246694,1.0,1.0,,,1.470898992470494,1.5369156336464855,0.7992205887283385,1.0,0.6882816678038618,1.0,pure,emd,0.0,1.0,,median,1.3,all
back_interaction_04,loco,25,1,25,1,0.33881520032871776,586.8972378015513,True,0.8743973219679317,0.8812327004000912,1.0,1.0,0.6666666666666666,0.6,0.38390998018036915,1.9791169313538657,0.6424979363972976,1.0,0.7044783076347282,1.0,pure,emd,0.0,1.0,,median,1.3,all
front_interaction_01,loco,25,1,25,1,0.34116197479877997,560.2496324742248,True,0.878588038764903,0.7130049608140385,1.0,1.0,,,1.088804919769252,1.8244252226598607,0.43367553273960613,1.0,0.49773893552499665,1.0,pure,emd,0.0,1.0,,median,1.3,all
front_interaction_02,loco,25,1,25,1,0.2960156534648656,1431.8350914758566,True,0.8782528034388076,1.0628144938451343,1.0,1.0,,,1.2471489075272577,1.670583471980195,0.46357834193979885,1.0,0.5195566066033669,1.0,pure,emd,0.0,1.0,,median,1.3,all
front_interaction_03,loco,25,1,25,1,0.3178171342135414,769.7070903559213,True,0.8539452647319934,1.247870905792203,1.0,1.0,,,1.183556665529573,1.6251277300487386,0.5554643635507891,1.0,0.593924113252865,1.0,pure,emd,0.0,1.0,,median,1.3,all
front_interaction_04,loco,25,1,25,1,0.3221820889039595,803.681052783511,True,0.8442497051386684,1.624827229154783,1.0,1.0,,,0.5231265316960932,1.2795845079619679,0.5843364501830923,1.0,0.5033238693393645,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_01,loco,25,1,25,1,0.27462122246220044,1904.3710577494821,True,0.8934684529889952,0.49065675015793214,1.0,1.0,0.5,1.0,3.0824064085705123,3.5161238849412983,0.5274935273895979,1.0,0.5541032004291757,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_02,loco,25,1,25,1,0.3415962514932164,510.35337656262027,True,0.8783385110692639,0.5730680122215923,1.0,1.0,0.6666666666666666,0.25,2.004630269462195,2.045594581436094,0.571193286012159,1.0,0.690945740420361,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_03,loco,25,1,25,1,0.30229019013420894,1475.1929000875762,True,0.9033604730115757,0.7130011354283877,1.0,1.0,1.0,1.0,3.3062182120122134,3.131501049816212,0.6937496664794734,1.0,0.7004470448420381,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_04,loco,25,1,25,1,0.35217742691739584,458.71343812048366,True,0.8734371044986108,0.7646545941923916,1.0,1.0,,,0.967402481288036,1.8316512159431382,0.6530435071221617,1.0,0.6995123621772535,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_05,loco,25,1,25,1,0.2864436456743532,1539.3615317824513,True,0.878071393911778,0.8601311002896623,1.0,1.0,1.0,0.6666666666666666,3.238754112665232,3.2901730312226545,0.8394568668640287,1.0,0.8491800848432438,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_06,loco,25,1,25,1,0.35226593423344643,460.7781063394082,True,0.8739370959124753,0.8199907606049684,1.0,1.0,,,3.932371376898213,3.8536711881859564,0.821487887660755,1.0,0.8184169920868487,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_07,loco,25,1,25,1,0.2996823204388468,1160.760118394872,True,0.8804004623410234,0.7806849848956596,1.0,1.0,,,3.535964577962102,3.758762311391431,0.7835296178867255,1.0,0.788424051505227,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_08,loco,25,1,25,1,0.3273791335099875,710.4163305305855,True,0.880628315288002,0.7553665178923481,1.0,1.0,0.625,0.8888888888888888,1.2048600217563927,2.10629903520187,0.6980066170355413,1.0,0.8827145370892481,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_09,loco,25,1,25,1,0.3524395300910095,457.81066197432153,True,0.871696704935902,0.8523088147074508,1.0,1.0,,,3.2587498752910165,3.2384624957649324,0.8729631891959129,1.0,0.8849141315940121,1.0,pure,emd,0.0,1.0,,median,1.3,all
bidirection_normal_driving_10,loco,25,1,25,1,0.33852500142520037,526.4932109972507,True,0.8622279953811498,0.9766283103022815,1.0,1.0,1.0,0.25,1.4706644528903243,2.1729557701409186,0.5408166541814122,1.0,0.685052060598537,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_normal_driving_01,loco,25,1,25,1,0.30368060570227695,1056.289002116389,True,0.8807347270638136,0.6172418040511981,1.0,1.0,1.0,0.4,1.7253137968851855,1.893435942593816,0.5633397770427037,1.0,0.565008363608319,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_normal_driving_02,loco,25,1,25,1,0.30949082992865923,920.0132012415656,True,0.8865034908189825,0.3774372174044556,1.0,1.0,,,2.072189884317527,1.8420032649547498,0.3049243881996517,1.0,0.3161367114748682,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_normal_driving_03,loco,25,1,25,1,0.30566388070561945,1136.5835430443274,True,0.88558084016629,0.7389546610408821,1.0,1.0,,,1.9794611633029509,2.636523528880489,0.6794842442629775,1.0,0.7064486361742974,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_normal_driving_04,loco,25,1,25,1,0.30120409131025117,1326.1819621443724,True,0.8874334304743338,0.8438415144425697,1.0,1.0,,,1.6534039851610975,1.8351231223010664,0.4804360769489825,1.0,0.5202388058344253,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_yeild_01,loco,25,1,25,1,0.31062011421087954,1150.3500034453295,True,0.9036054228947947,0.4140042485467877,1.0,1.0,,,3.1895947687076256,2.8212980557835885,0.3620810514653124,1.0,0.3655459889480031,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_yeild_02,loco,25,1,25,1,0.31962450330303693,863.1166283427802,True,0.9048771804973389,0.23654095912992582,1.0,1.0,,,4.488478643724144,4.730170665874129,0.23667713210869581,1.0,0.23772489265167734,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_yeild_03,loco,25,1,25,1,0.29190700823067317,1344.6679538143055,True,0.8640067367299515,1.1572965027628415,1.0,1.0,,,3.6163186750192553,3.6269931394532455,1.1589921004804686,1.0,1.164977784961583,1.0,pure,emd,0.0,1.0,,median,1.3,all
unidirection_yeild_04,loco,25,1,25,1,0.33138164407429666,865.7309828175313,True,0.8921114026037056,0.9454798828144966,1.0,1.0,,,3.458234368090622,3.2146620885863935,0.94896693805242,1.0,0.9531044864670771,1.0,pure,emd,0.0,1.0,,median,1.3,all
