fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,config,dist_metric,w_ade,w_dist,obj_interaction_distance,cap_policy,cap_multiplier,scenario
back_interaction_01,loco,25,1,25,1,1.4869374638930823,2.4641720338251663,True,0.6620533609126221,0.860335588782163,1.0,1.0,1.0,0.5,0.7289279756179318,1.8833653007847966,0.8058839090527373,1.0,0.9466336571432996,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
back_interaction_02,loco,25,1,25,1,1.4807045588269836,2.467923114448787,True,0.675989794014311,0.6226544405899693,1.0,1.0,,,0.47649263004638975,1.7009285782124242,0.5966635808949723,1.0,0.6326807630938399,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
back_interaction_03,loco,25,1,25,1,1.2123378980635606,3.4284479005946196,True,0.6682178513020314,0.9547223372527273,1.0,1.0,,,1.0041362019650653,1.5369156336464855,0.7992205887283385,1.0,0.6882816678038618,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
back_interaction_04,loco,25,1,25,1,1.4807858173084232,2.468096895709457,True,0.6732632208555475,0.6782248034806344,1.0,1.0,1.0,0.09999999999999999,0.28969334496838883,1.9791169313538657,0.6424979363972976,1.0,0.7044783076347282,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
front_interaction_01,loco,25,1,25,1,1.4745837659957068,2.4701920605628365,True,0.6801476779094464,0.4378928151603875,1.0,1.0,,,0.48273272450135096,1.8244252226598607,0.43367553273960613,1.0,0.49773893552499665,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
front_interaction_02,loco,25,1,25,1,1.452237021677119,2.490023992523856,True,0.6794706137040438,0.4833481782009291,1.0,1.0,,,0.6570968568015034,1.670583471980195,0.46357834193979885,1.0,0.5195566066033669,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
front_interaction_03,loco,25,1,25,1,1.4794690662994987,2.4684217132627975,True,0.6786230020918058,0.5549786109928495,1.0,1.0,,,0.6752150132048633,1.6251277300487386,0.5554643635507891,1.0,0.593924113252865,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
front_interaction_04,loco,25,1,25,1,1.0098067798418902,5.669518568494823,True,0.7004314343873925,0.8396483021475565,1.0,1.0,,,0.21747801894220498,1.2795845079619679,0.5843364501830923,1.0,0.5033238693393645,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_01,loco,25,1,25,1,1.135220062732697,3.555892676115037,True,0.6870624804280487,0.49464969483348054,1.0,1.0,1.0,0.6666666666666666,2.9463633088705374,3.5161238849412983,0.5274935273895979,1.0,0.5541032004291757,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
bidirection_normal_driving_02,loco,25,1,25,1,1.4381711631081986,2.4952889654785384,True,0.6763032706891873,0.5535709760223338,1.0,1.0,0.6666666666666666,0.6,1.4540688349722655,2.045594581436094,0.571193286012159,1.0,0.690945740420361,1.0,w0.5,emd,1.0,0.5,,median,1.3,all
