fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,config,dist_metric,w_ade,w_dist,obj_interaction_distance,cap_policy,cap_multiplier,scenario
back_interaction_01,loco,25,1,25,1,0.6593543887442628,20.256117516656627,True,0.7590924877252846,1.02505302405085,1.0,1.0,1.0,0.5,0.9356515179210263,1.8833653007847966,0.8058839090527373,1.0,0.9466336571432996,1.0,w1,emd,1.0,1.0,,median,1.3,all
back_interaction_02,loco,25,1,25,1,0.6600019157243027,20.1940920559166,True,0.7742461978242009,0.78248748850701,1.0,1.0,,,0.756929700686315,1.7009285782124242,0.5966635808949723,1.0,0.6326807630938399,1.0,w1,emd,1.0,1.0,,median,1.3,all
back_interaction_03,loco,25,1,25,1,0.6492535040943508,21.282890308148517,True,0.7533667568756995,1.2824487817956844,1.0,1.0,,,1.2731624607286978,1.5369156336464855,0.7992205887283385,1.0,0.6882816678038618,1.0,w1,emd,1.0,1.0,,median,1.3,all
back_interaction_04,loco,25,1,25,1,0.6492671220458743,21.281212960675454,True,0.7762388628645371,0.7816134915413008,1.0,1.0,1.0,0.03571428571428571,0.31879660916387664,1.9791169313538657,0.6424979363972976,1.0,0.7044783076347282,1.0,w1,emd,1.0,1.0,,median,1.3,all
front_interaction_01,loco,25,1,25,1,1.2773740182494273,3.383678065580625,True,0.6927235081802002,0.44316354185879836,1.0,1.0,,,0.525619433960583,1.8244252226598607,0.43367553273960613,1.0,0.49773893552499665,1.0,w1,emd,1.0,1.0,,median,1.3,all
front_interaction_02,loco,25,1,25,1,0.6489448135158264,21.318199061482815,True,0.7777519196104732,0.743801558803827,1.0,1.0,,,1.1610118220368753,1.670583471980195,0.46357834193979885,1.0,0.5195566066033669,1.0,w1,emd,1.0,1.0,,median,1.3,all
front_interaction_03,loco,25,1,25,1,0.6356479509265625,23.317388587671662,True,0.773120286176912,0.9655090992876704,1.0,1.0,,,1.174672841605584,1.6251277300487386,0.5554643635507891,1.0,0.593924113252865,1.0,w1,emd,1.0,1.0,,median,1.3,all
front_interaction_04,loco,25,1,25,1,0.5346886749614523,44.28520329835439,True,0.7799938798075173,1.29908606034067,1.0,1.0,,,0.511844050321824,1.2795845079619679,0.5843364501830923,1.0,0.5033238693393645,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_01,loco,25,1,25,1,0.41758892257670366,55.66209974534868,True,0.7802924914667402,0.5088627963916537,1.0,1.0,1.0,0.6666666666666666,2.9052161194926027,3.5161238849412983,0.5274935273895979,1.0,0.5541032004291757,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_02,loco,25,1,25,1,1.285102672874929,3.342579711228609,True,0.6911624998484308,0.5222932898748959,1.0,1.0,0.6666666666666666,0.39999999999999997,1.4769904982979425,2.045594581436094,0.571193286012159,1.0,0.690945740420361,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_03,loco,25,1,25,1,0.6685398427542402,19.916167098135034,True,0.7794047805333119,0.6964097814620485,1.0,1.0,,,3.269975497590553,3.131501049816212,0.6937496664794734,1.0,0.7004470448420381,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_04,loco,25,1,25,1,0.6627294898742673,19.93692236595495,True,0.7759894578077148,0.7040346964350545,1.0,1.0,,,0.7016775778780174,1.8316512159431382,0.6530435071221617,1.0,0.6995123621772535,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_05,loco,25,1,25,1,0.42132707502566547,54.96175303852448,True,0.7651278124983772,0.8377812449759824,1.0,1.0,,,2.9700626732097097,3.2901730312226545,0.8394568668640287,1.0,0.8491800848432438,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_06,loco,25,1,25,1,0.6533699035644511,20.8445343017578,True,0.7733177427645432,0.8196473123448118,1.0,1.0,,,3.9717506010256662,3.8536711881859564,0.821487887660755,1.0,0.8184169920868487,1.0,w1,emd,1.0,1.0,,median,1.3,all
bidirection_normal_driving_07,loco,25,1,25,1,0.4319299668874731,53.22302326261769,True,0.7702786724339501,0.7827458518630626,1.0,1.0,,,3.4996988311209667,3.758762311391431,0.7835296178867255,1.0,0.788424051505227,1.0,w1,emd,1.0,1.0,,median,1.3,all
