objective,policy,cap_multiplier,axis,fixed_value,band_lo,band_hi,band_width,n_nodes_in_band,n_nodes_total,band_contiguous,censored_lo,censored_hi,fitted,fitted_on_grid_edge,min_loss,degenerate,fit_sigma,fit_v0,fit_loss
ade,closedloop,,sigma,8.0,0.9,2.1,1.2000000000000002,7,12,True,False,False,0.6164803440585929,False,1.7435327513235925,False,0.6164803440585929,35.86511554431277,1.7068400090477935
ade,closedloop,,v0,0.7,6.5,8.0,1.5,2,14,True,False,True,35.86511554431277,True,1.79746595896547,False,0.6164803440585929,35.86511554431277,1.7068400090477935
ade,median,,sigma,1.6,0.5,1.9,1.4,8,12,True,False,False,1.2136677837371823,False,0.6569328765833194,False,1.2136677837371823,1.6372689056396486,0.6565965976439349
ade,median,,v0,1.3,0.8,2.4,1.5999999999999999,5,14,True,False,False,1.6372689056396486,False,0.6569328765833194,False,1.2136677837371823,1.6372689056396486,0.6565965976439349
ade,uncapped,,sigma,1.2,0.3,1.5,1.2,7,12,True,True,False,0.7589889693386789,False,0.7148873765524308,False,0.7589889693386789,1.1465358836122335,0.7146770028059832
ade,uncapped,,v0,0.7,0.4,2.0,1.6,5,14,True,False,False,1.1465358836122335,False,0.7148873765524308,False,0.7589889693386789,1.1465358836122335,0.7146770028059832
pure,closedloop,,sigma,8.0,0.5,0.9,0.4,3,12,True,False,False,0.22363319784876518,True,0.8012811313363344,False,0.22363319784876518,22772.626297275336,0.48771654107253865
pure,closedloop,,v0,0.3,8.0,8.0,0.0,1,14,True,False,True,22772.626297275336,True,0.8422307779425438,False,0.22363319784876518,22772.626297275336,0.48771654107253865
pure,median,,sigma,8.0,0.9,1.1,0.20000000000000007,2,12,True,False,False,0.30814010827706684,False,0.5283967574789352,False,0.30814010827706684,1108.2126740415538,0.3749114171201905
pure,median,,v0,0.3,6.5,8.0,1.5,2,14,True,False,True,1108.2126740415538,True,0.6893403468574153,False,0.30814010827706684,1108.2126740415538,0.3749114171201905
pure,uncapped,,sigma,8.0,0.9,0.9,0.0,1,12,True,False,False,0.5924131477519319,False,0.3204043129591083,False,0.5924131477519319,24.87482062458708,0.10360958051551866
pure,uncapped,,v0,0.5,8.0,8.0,0.0,1,14,True,False,True,24.87482062458708,True,0.50072853004435,False,0.5924131477519319,24.87482062458708,0.10360958051551866
w1,closedloop,,sigma,8.0,0.5,1.3,0.8,5,12,True,False,False,0.2067225594952261,True,2.591630027676211,False,0.2067225594952261,33660.77994292522,2.1554361047178014
w1,closedloop,,v0,0.3,6.5,8.0,1.5,2,14,True,False,True,33660.77994292522,True,2.6787393512855617,False,0.2067225594952261,33660.77994292522,2.1554361047178014
w1,median,,sigma,8.0,0.9,0.9,0.0,1,12,True,False,False,0.6489285252577124,False,1.2575067054432467,False,0.6489285252577124,21.320064240609586,1.2193862304790453
w1,median,,v0,0.7,6.5,8.0,1.5,2,14,True,False,True,21.320064240609586,True,1.2863825880085988,False,0.6489285252577124,21.320064240609586,1.2193862304790453
w1,uncapped,,sigma,8.0,0.7,0.9,0.20000000000000007,2,12,True,False,False,0.42510122507773335,False,1.2514387221458079,False,0.42510122507773335,26.52341869785743,1.1210988896336023
w1,uncapped,,v0,0.5,6.5,8.0,1.5,2,14,True,False,True,26.52341869785743,True,1.3221851336731874,False,0.42510122507773335,26.52341869785743,1.1210988896336023
