enc_id,scenario,clip,n_frames,window_s,n_peds,recorded_min_sep_m,ego_path_len_m,ego_path_len_deduped_m,n_waypoints_raw,n_waypoints_deduped,ego_net_disp_m,straightness,ego_speed_initial_ms,ego_speed_median_ms,ego_speed_p95_ms,ped_speed_median_ms,eligible,reason
vci_back__back_interaction_01__e00,vci_back,back_interaction_01,36,14.0,8,1.883,34.58,34.58,36,36,34.554,0.999,2.401,2.407,2.638,1.002,True,
vci_back__back_interaction_02__e00,vci_back,back_interaction_02,29,11.2,8,1.701,31.961,31.961,29,29,31.953,1.0,2.476,2.746,2.955,1.005,True,
vci_back__back_interaction_03__e00,vci_back,back_interaction_03,27,10.4,8,1.537,31.724,31.724,27,27,31.722,1.0,2.757,2.978,3.179,1.129,True,
vci_back__back_interaction_04__e00,vci_back,back_interaction_04,28,10.8,8,1.979,31.87,31.87,28,28,31.862,1.0,2.874,2.846,3.54,1.08,True,
vci_front__front_interaction_01__e00,vci_front,front_interaction_01,18,6.8,8,1.824,31.753,31.753,18,18,31.75,1.0,3.968,4.527,4.782,1.099,True,
vci_front__front_interaction_02__e00,vci_front,front_interaction_02,22,8.4,8,1.671,30.095,30.095,22,22,30.01,0.997,3.517,3.594,3.656,1.174,True,
vci_front__front_interaction_03__e00,vci_front,front_interaction_03,26,10.0,8,1.625,29.832,29.832,26,26,29.796,0.999,2.734,2.915,3.101,1.21,True,
vci_front__front_interaction_04__e00,vci_front,front_interaction_04,27,10.4,8,1.28,30.26,30.26,27,27,30.257,1.0,2.605,2.767,3.056,1.257,True,
vci_lat_bi__bidirection_normal_driving_01__e00,vci_lat_bi,bidirection_normal_driving_01,29,11.2,8,3.516,14.668,14.575,29,19,14.571,0.993,1.839,1.535,1.992,1.214,True,
vci_lat_bi__bidirection_normal_driving_02__e00,vci_lat_bi,bidirection_normal_driving_02,22,8.4,8,2.046,33.137,33.137,22,21,32.986,0.995,1.213,3.735,4.564,1.182,True,
vci_lat_bi__bidirection_normal_driving_03__e00,vci_lat_bi,bidirection_normal_driving_03,25,9.6,8,3.132,15.39,15.39,25,21,15.381,0.999,0.441,1.32,1.655,1.347,True,
vci_lat_bi__bidirection_normal_driving_04__e00,vci_lat_bi,bidirection_normal_driving_04,16,6.0,8,1.832,23.983,23.983,16,16,23.965,0.999,3.61,3.718,4.168,1.006,True,
vci_lat_bi__bidirection_normal_driving_05__e00,vci_lat_bi,bidirection_normal_driving_05,27,10.4,8,3.29,8.125,7.983,27,13,7.981,0.982,1.309,0.984,1.554,1.354,True,
vci_lat_bi__bidirection_normal_driving_06__e00,vci_lat_bi,bidirection_normal_driving_06,32,12.4,8,3.854,21.989,21.863,32,22,21.859,0.994,1.166,1.455,2.37,1.331,True,
vci_lat_bi__bidirection_normal_driving_07__e00,vci_lat_bi,bidirection_normal_driving_07,26,10.0,8,3.759,11.176,11.032,26,16,11.031,0.987,1.365,1.366,1.912,1.292,True,
vci_lat_bi__bidirection_normal_driving_08__e00,vci_lat_bi,bidirection_normal_driving_08,24,9.2,8,2.106,32.663,32.663,24,24,32.392,0.992,1.743,3.04,3.986,1.141,True,
vci_lat_bi__bidirection_normal_driving_09__e00,vci_lat_bi,bidirection_normal_driving_09,28,10.8,8,3.238,10.698,10.616,28,16,10.614,0.992,1.664,1.124,1.75,1.25,True,
vci_lat_bi__bidirection_normal_driving_10__e00,vci_lat_bi,bidirection_normal_driving_10,24,9.2,8,2.173,31.851,31.851,24,23,31.814,0.999,0.985,3.353,4.083,1.26,True,
vci_lat_uni__unidirection_normal_driving_01__e00,vci_lat_uni,unidirection_normal_driving_01,14,5.2,8,1.893,11.115,11.115,14,14,11.059,0.995,1.832,1.833,2.285,1.066,True,
vci_lat_uni__unidirection_normal_driving_02__e00,vci_lat_uni,unidirection_normal_driving_02,17,6.4,8,1.842,19.284,19.284,17,17,19.159,0.994,2.088,2.475,3.294,1.176,True,
vci_lat_uni__unidirection_normal_driving_03__e00,vci_lat_uni,unidirection_normal_driving_03,16,6.0,8,2.637,20.889,20.889,16,16,20.887,1.0,2.198,2.679,3.767,1.174,True,
vci_lat_uni__unidirection_normal_driving_04__e00,vci_lat_uni,unidirection_normal_driving_04,15,5.6,8,1.835,19.562,19.562,15,15,19.506,0.997,2.974,3.306,3.473,1.383,True,
vci_lat_uni__unidirection_yeild_01__e00,vci_lat_uni,unidirection_yeild_01,19,7.2,8,2.821,5.882,5.816,19,10,5.815,0.989,1.969,1.416,1.967,1.205,True,
vci_lat_uni__unidirection_yeild_02__e00,vci_lat_uni,unidirection_yeild_02,23,8.8,8,4.73,13.604,13.604,23,18,13.603,1.0,2.681,1.693,2.68,1.21,True,
vci_lat_uni__unidirection_yeild_03__e00,vci_lat_uni,unidirection_yeild_03,25,9.6,8,3.627,7.075,6.982,25,10,6.981,0.987,2.396,0.771,2.393,1.218,True,
vci_lat_uni__unidirection_yeild_04__e00,vci_lat_uni,unidirection_yeild_04,26,10.0,8,3.215,7.097,6.954,26,10,6.953,0.98,2.478,0.801,2.477,1.25,True,
