ped_arm,pred,plan,n_pairs,n_arm_gt_replay,n_arm_lt_replay,mean_delta_m,sign_p,wilcoxon_p,arm_coll_encs,replay_coll_encs,coll_arm_only,coll_replay_only,mcnemar_p
calib,cv,single,26,13,13,-0.0494,1.0,0.9006587266921997,1,7,0,6,0.03125
calib,cv,robust,26,13,13,-0.0494,1.0,0.9006587266921997,1,7,0,6,0.03125
calib,lstm,single,26,16,10,0.2719,0.32693958282470703,0.07957255840301514,1,8,0,7,0.015625
calib,lstm,robust,26,18,8,0.3715,0.07551869750022888,0.014006495475769043,1,3,0,2,0.5
calib,sgan,single,26,14,12,0.2446,0.8450189828872681,0.14271590113639832,2,8,0,6,0.03125
calib,sgan,robust,26,14,12,0.1732,0.8450189828872681,0.5316631495952606,2,4,0,2,0.5
avec,cv,single,26,13,13,-0.0389,1.0,0.7643943428993225,0,7,0,7,0.015625
avec,cv,robust,26,13,13,-0.0389,1.0,0.7643943428993225,0,7,0,7,0.015625
avec,lstm,single,26,16,10,0.2733,0.32693958282470703,0.0630297064781189,0,8,0,8,0.0078125
avec,lstm,robust,26,17,9,0.3474,0.16863754391670227,0.02915090322494507,0,3,0,3,0.25
avec,sgan,single,26,15,11,0.2512,0.557197093963623,0.07957255840301514,0,8,0,8,0.0078125
avec,sgan,robust,26,14,12,0.1661,0.8450189828872681,0.4082431197166443,0,4,0,4,0.125
norep,cv,single,26,12,14,-0.1998,0.8450189828872681,0.3940727114677429,2,7,0,5,0.0625
norep,cv,robust,26,12,14,-0.1998,0.8450189828872681,0.3940727114677429,2,7,0,5,0.0625
norep,lstm,single,26,13,13,0.1697,1.0,0.2913762927055359,4,8,0,4,0.125
norep,lstm,robust,26,15,11,0.2906,0.557197093963623,0.10482031106948853,2,3,0,1,1.0
norep,sgan,single,26,12,14,0.112,0.8450189828872681,0.599547415971756,4,8,0,4,0.125
norep,sgan,robust,26,9,17,0.0856,0.16863754391670227,0.9402996003627777,2,4,0,2,0.5
calib13x,cv,single,26,15,11,0.0541,0.557197093963623,0.599547415971756,2,7,0,5,0.0625
calib13x,cv,robust,26,15,11,0.0541,0.557197093963623,0.599547415971756,2,7,0,5,0.0625
calib13x,lstm,single,26,15,11,0.2065,0.557197093963623,0.42270219326019287,4,8,0,4,0.125
calib13x,lstm,robust,26,16,10,0.3355,0.32693958282470703,0.14990898966789246,3,3,0,0,
calib13x,sgan,single,26,16,10,0.3658,0.32693958282470703,0.11053428053855896,4,8,0,4,0.125
calib13x,sgan,robust,26,14,12,0.1325,0.8450189828872681,0.7265399694442749,2,4,0,2,0.5
