kind,t,x,y
recorded_ego,0.0,2.2044,8.1771
recorded_ego,0.4,3.1908,8.202
recorded_ego,0.8,4.2348,8.2049
recorded_ego,1.2,5.3132,8.2251
recorded_ego,1.6,6.4246,8.2392
recorded_ego,2.0,7.5542,8.2556
recorded_ego,2.4,8.7034,8.2612
recorded_ego,2.8,9.8447,8.2796
recorded_ego,3.2,10.9604,8.2999
recorded_ego,3.6,12.0901,8.3134
recorded_ego,4.0,13.2309,8.3376
recorded_ego,4.4,14.2981,8.3373
recorded_ego,4.8,15.3785,8.359
recorded_ego,5.2,16.4896,8.3755
recorded_ego,5.6,17.6154,8.3892
recorded_ego,6.0,18.781,8.4148
recorded_ego,6.4,19.9558,8.4657
recorded_ego,6.8,21.159,8.4887
recorded_ego,7.2,22.3421,8.5138
recorded_ego,7.6,23.5378,8.5316
recorded_ego,8.0,24.7289,8.5511
recorded_ego,8.4,25.9404,8.5682
recorded_ego,8.8,27.1404,8.5815
recorded_ego,9.2,28.3447,8.6006
recorded_ego,9.6,29.5422,8.5876
recorded_ego,10.0,30.7482,8.5757
recorded_ego,10.4,31.8943,8.4972
recorded_ego,10.8,33.0388,8.4606
recorded_ego,11.2,34.1567,8.4201
recorded_ped_1,0.0,14.4391,6.1469
recorded_ped_1,0.4,14.871,6.181
recorded_ped_1,0.8,15.2596,6.1539
recorded_ped_1,1.2,15.6736,6.0753
recorded_ped_1,1.6,16.0891,6.0692
recorded_ped_1,2.0,16.5045,6.0782
recorded_ped_1,2.4,16.9601,6.1011
recorded_ped_1,2.8,17.3784,6.1678
recorded_ped_1,3.2,17.816,6.2049
recorded_ped_1,3.6,18.2811,6.164
recorded_ped_1,4.0,18.7093,6.2346
recorded_ped_1,4.4,19.1344,6.2665
recorded_ped_1,4.8,19.5238,6.2166
recorded_ped_1,5.2,19.8459,6.0863
recorded_ped_1,5.6,20.131,5.8138
recorded_ped_1,6.0,20.371,5.5603
recorded_ped_1,6.4,20.6776,5.4412
recorded_ped_1,6.8,21.0408,5.3215
recorded_ped_1,7.2,21.4157,5.2629
recorded_ped_1,7.6,21.7997,5.3391
recorded_ped_1,8.0,22.1759,5.3743
recorded_ped_1,8.4,22.5468,5.4677
recorded_ped_1,8.8,22.8601,5.7129
recorded_ped_1,9.2,23.1867,5.8887
recorded_ped_1,9.6,23.5212,6.0885
recorded_ped_1,10.0,23.8813,6.328
recorded_ped_1,10.4,24.2843,6.4503
recorded_ped_1,10.8,24.6319,6.553
recorded_ped_1,11.2,24.9181,6.6564
recorded_ped_2,0.0,14.4481,7.1296
recorded_ped_2,0.4,14.9119,7.1383
recorded_ped_2,0.8,15.3571,7.2142
recorded_ped_2,1.2,15.8035,7.2716
recorded_ped_2,1.6,16.2504,7.2478
recorded_ped_2,2.0,16.7056,7.305
recorded_ped_2,2.4,17.1265,7.3172
recorded_ped_2,2.8,17.5517,7.2793
recorded_ped_2,3.2,17.9901,7.3079
recorded_ped_2,3.6,18.4176,7.3261
