kind,t,x,y
recorded_ego,0.0,32.8033,8.2981
recorded_ego,0.4,31.2088,8.2234
recorded_ego,0.8,29.5525,8.1615
recorded_ego,1.2,27.7963,8.1179
recorded_ego,1.6,25.9755,8.1085
recorded_ego,2.0,24.1165,8.0644
recorded_ego,2.4,22.188,8.0327
recorded_ego,2.8,20.2331,8.0099
recorded_ego,3.2,18.2528,7.9917
recorded_ego,3.6,16.2331,7.9804
recorded_ego,4.0,14.1982,7.9875
recorded_ego,4.4,12.2129,7.9765
recorded_ego,4.8,10.2235,7.9943
recorded_ego,5.2,8.2655,8.0036
recorded_ego,5.6,6.3584,8.0102
recorded_ego,6.0,4.4778,8.0318
recorded_ego,6.4,2.7079,8.0241
recorded_ego,6.8,1.055,8.0174
recorded_ped_1,0.0,9.3446,6.1004
recorded_ped_1,0.4,9.7519,6.0713
recorded_ped_1,0.8,10.2099,6.0689
recorded_ped_1,1.2,10.6415,5.953
recorded_ped_1,1.6,11.062,5.7702
recorded_ped_1,2.0,11.4193,5.6424
recorded_ped_1,2.4,11.7372,5.3967
recorded_ped_1,2.8,12.0042,5.1289
recorded_ped_1,3.2,12.2961,4.9838
recorded_ped_1,3.6,12.6209,4.8273
recorded_ped_1,4.0,12.9442,4.7006
recorded_ped_1,4.4,13.2762,4.8004
recorded_ped_1,4.8,13.6653,4.9284
recorded_ped_1,5.2,14.0638,5.0883
recorded_ped_1,5.6,14.4145,5.3564
recorded_ped_1,6.0,14.8308,5.4994
recorded_ped_1,6.4,15.2494,5.5937
recorded_ped_1,6.8,15.7054,5.7791
recorded_ped_2,0.0,9.7045,8.1242
recorded_ped_2,0.4,10.1341,8.1995
recorded_ped_2,0.8,10.6276,8.2921
recorded_ped_2,1.2,11.0878,8.3196
recorded_ped_2,1.6,11.5058,8.4998
recorded_ped_2,2.0,11.8831,8.7622
recorded_ped_2,2.4,12.2746,8.9838
recorded_ped_2,2.8,12.5822,9.2849
recorded_ped_2,3.2,12.878,9.5624
recorded_ped_2,3.6,13.2487,9.7201
recorded_ped_2,4.0,13.6374,9.8892
recorded_ped_2,4.4,14.0398,10.0086
recorded_ped_2,4.8,14.4978,10.0349
recorded_ped_2,5.2,14.9826,10.1207
recorded_ped_2,5.6,15.4594,10.1335
recorded_ped_2,6.0,15.9786,10.0889
recorded_ped_2,6.4,16.5046,10.1231
recorded_ped_2,6.8,17.0281,10.0745
recorded_ped_3,0.0,11.6239,5.4288
recorded_ped_3,0.4,12.0222,5.4876
recorded_ped_3,0.8,12.5043,5.5106
recorded_ped_3,1.2,12.8959,5.6077
recorded_ped_3,1.6,13.2933,5.5357
recorded_ped_3,2.0,13.7554,5.4278
recorded_ped_3,2.4,14.1761,5.3318
recorded_ped_3,2.8,14.5886,5.1251
recorded_ped_3,3.2,15.0358,5.0308
recorded_ped_3,3.6,15.4551,4.9695
recorded_ped_3,4.0,15.8895,4.9277
recorded_ped_3,4.4,16.305,4.9556
recorded_ped_3,4.8,16.7263,4.9757
recorded_ped_3,5.2,17.2019,5.0517
recorded_ped_3,5.6,17.6601,5.1664
recorded_ped_3,6.0,18.1163,5.2053
recorded_ped_3,6.4,18.6095,5.2833
recorded_ped_3,6.8,19.0709,5.3491
recorded_ped_4,0.0,10.2484,6.5269
recorded_ped_4,0.4,10.6644,6.5411
recorded_ped_4,0.8,11.1108,6.5639
recorded_ped_4,1.2,11.4802,6.5386
recorded_ped_4,1.6,11.9431,6.5308
recorded_ped_4,2.0,12.3203,6.5604
recorded_ped_4,2.4,12.7279,6.589
recorded_ped_4,2.8,13.1657,6.5203
recorded_ped_4,3.2,13.6041,6.449
recorded_ped_4,3.6,14.0248,6.3527
recorded_ped_4,4.0,14.4715,6.1837
recorded_ped_4,4.4,14.8805,6.1475
recorded_ped_4,4.8,15.2645,6.1379
recorded_ped_4,5.2,15.6826,6.109
recorded_ped_4,5.6,16.0552,6.144
recorded_ped_4,6.0,16.5149,6.2144
recorded_ped_4,6.4,17.0019,6.2284
recorded_ped_4,6.8,17.4879,6.2996
recorded_ped_5,0.0,12.5643,6.2816
recorded_ped_5,0.4,13.0281,6.2646
recorded_ped_5,0.8,13.5812,6.0258
recorded_ped_5,1.2,14.0748,5.8123
recorded_ped_5,1.6,14.5167,5.5202
recorded_ped_5,2.0,14.9155,5.252
recorded_ped_5,2.4,15.3849,5.1961
recorded_ped_5,2.8,15.8749,5.129
recorded_ped_5,3.2,16.3217,5.0604
recorded_ped_5,3.6,16.7444,5.175
recorded_ped_5,4.0,17.1883,5.2146
recorded_ped_5,4.4,17.6281,5.2282
recorded_ped_5,4.8,18.0379,5.4334
recorded_ped_5,5.2,18.4574,5.574
recorded_ped_5,5.6,18.8834,5.658
recorded_ped_5,6.0,19.2767,5.8984
recorded_ped_5,6.4,19.6437,6.137
recorded_ped_5,6.8,20.0499,6.3352
recorded_ped_6,0.0,13.3364,10.6472
recorded_ped_6,0.4,13.8204,10.6345
recorded_ped_6,0.8,14.3158,10.6998
recorded_ped_6,1.2,14.8025,10.7709
recorded_ped_6,1.6,15.2709,10.8152
recorded_ped_6,2.0,15.7148,10.9172
recorded_ped_6,2.4,16.1931,11.0152
recorded_ped_6,2.8,16.6364,11.087
recorded_ped_6,3.2,17.107,11.1829
recorded_ped_6,3.6,17.5431,11.2041
recorded_ped_6,4.0,18.0092,11.2685
recorded_ped_6,4.4,18.4743,11.2813
recorded_ped_6,4.8,18.9138,11.2562
recorded_ped_6,5.2,19.3709,11.2661
recorded_ped_6,5.6,19.799,11.22
recorded_ped_6,6.0,20.1851,11.1657
recorded_ped_6,6.4,20.6129,11.0987
recorded_ped_6,6.8,20.998,10.9694
recorded_ped_7,0.0,12.5709,8.341
recorded_ped_7,0.4,13.0079,8.3151
recorded_ped_7,0.8,13.4053,8.363
recorded_ped_7,1.2,13.7098,8.4753
recorded_ped_7,1.6,13.946,8.5504
recorded_ped_7,2.0,13.9744,8.8783
recorded_ped_7,2.4,14.0722,9.1985
recorded_ped_7,2.8,14.3287,9.4203
recorded_ped_7,3.2,14.6482,9.624
recorded_ped_7,3.6,15.0792,9.6187
recorded_ped_7,4.0,15.548,9.5012
recorded_ped_7,4.4,16.0405,9.3493
recorded_ped_7,4.8,16.5158,9.057
recorded_ped_7,5.2,17.0294,8.8602
recorded_ped_7,5.6,17.5251,8.6501
recorded_ped_7,6.0,18.0323,8.4788
recorded_ped_7,6.4,18.5537,8.3916
recorded_ped_7,6.8,19.0684,8.2616
recorded_ped_8,0.0,12.5934,9.061
recorded_ped_8,0.4,13.0815,9.116
recorded_ped_8,0.8,13.547,9.0983
recorded_ped_8,1.2,13.9896,9.2392
recorded_ped_8,1.6,14.3978,9.309
recorded_ped_8,2.0,14.7754,9.378
recorded_ped_8,2.4,15.1238,9.5364
recorded_ped_8,2.8,15.4775,9.7291
recorded_ped_8,3.2,15.8581,9.8799
recorded_ped_8,3.6,16.2926,10.0201
recorded_ped_8,4.0,16.7121,9.9297
recorded_ped_8,4.4,17.1412,9.7766
recorded_ped_8,4.8,17.6186,9.6501
recorded_ped_8,5.2,18.0491,9.4677
recorded_ped_8,5.6,18.4433,9.2465
recorded_ped_8,6.0,18.8839,9.0793
recorded_ped_8,6.4,19.3058,8.9153
recorded_ped_8,6.8,19.72,8.8208
