kind,t,x,y
recorded_ego,0.0,31.0972,8.58
recorded_ego,0.4,30.2082,8.5421
recorded_ego,0.8,29.0818,8.5049
recorded_ego,1.2,27.8045,8.4377
recorded_ego,1.6,26.5885,8.4266
recorded_ego,2.0,25.4397,8.3806
recorded_ego,2.4,24.3043,8.3145
recorded_ego,2.8,23.1381,8.2338
recorded_ego,3.2,21.8425,8.1776
recorded_ego,3.6,20.3965,8.1293
recorded_ego,4.0,18.8497,8.0814
recorded_ego,4.4,17.2161,8.0128
recorded_ego,4.8,15.5413,7.9311
recorded_ego,5.2,13.7865,7.8681
recorded_ego,5.6,12.0101,7.8189
recorded_ego,6.0,10.225,7.7903
recorded_ped_1,0.0,16.6268,13.5559
recorded_ped_1,0.4,16.6306,13.068
recorded_ped_1,0.8,16.5429,12.5222
recorded_ped_1,1.2,16.6089,11.9911
recorded_ped_1,1.6,16.5981,11.5762
recorded_ped_1,2.0,16.532,11.3548
recorded_ped_1,2.4,16.5372,11.4966
recorded_ped_1,2.8,16.5389,11.794
recorded_ped_1,3.2,16.3922,11.9349
recorded_ped_1,3.6,16.3338,11.9923
recorded_ped_1,4.0,16.3978,11.9498
recorded_ped_1,4.4,16.5094,11.7969
recorded_ped_1,4.8,16.5542,11.3947
recorded_ped_1,5.2,16.6015,10.9464
recorded_ped_1,5.6,16.7081,10.434
recorded_ped_1,6.0,16.6516,9.8694
recorded_ped_2,0.0,20.4563,10.0429
recorded_ped_2,0.4,20.3841,9.4602
recorded_ped_2,0.8,20.3248,8.8869
recorded_ped_2,1.2,20.3397,8.3259
recorded_ped_2,1.6,20.3218,7.7412
recorded_ped_2,2.0,20.4055,7.1563
recorded_ped_2,2.4,20.4595,6.6354
recorded_ped_2,2.8,20.4811,6.1019
recorded_ped_2,3.2,20.5925,5.5681
recorded_ped_2,3.6,20.6485,5.0504
recorded_ped_2,4.0,20.7219,4.5504
recorded_ped_2,4.4,20.8336,4.0478
recorded_ped_2,4.8,20.871,3.5263
recorded_ped_2,5.2,20.988,3.0001
recorded_ped_2,5.6,21.0901,2.4837
recorded_ped_2,6.0,21.1396,1.9472
recorded_ped_3,0.0,17.1218,12.06
recorded_ped_3,0.4,17.1304,11.5639
recorded_ped_3,0.8,17.0691,10.9991
recorded_ped_3,1.2,17.0712,10.3586
recorded_ped_3,1.6,16.986,9.5417
recorded_ped_3,2.0,16.9193,8.5765
recorded_ped_3,2.4,16.8306,7.6187
recorded_ped_3,2.8,16.8821,6.7146
recorded_ped_3,3.2,16.9589,5.9167
recorded_ped_3,3.6,17.1194,5.2311
recorded_ped_3,4.0,17.2273,4.6237
recorded_ped_3,4.4,17.308,4.0415
recorded_ped_3,4.8,17.4709,3.5251
recorded_ped_3,5.2,17.5418,2.9988
recorded_ped_3,5.6,17.6753,2.4877
recorded_ped_3,6.0,17.748,1.9992
recorded_ped_4,0.0,19.2036,16.0434
recorded_ped_4,0.4,19.1141,15.557
recorded_ped_4,0.8,19.0057,14.9641
recorded_ped_4,1.2,18.8309,14.4014
recorded_ped_4,1.6,18.7378,13.8789
recorded_ped_4,2.0,18.6656,13.4721
recorded_ped_4,2.4,18.527,13.1977
recorded_ped_4,2.8,18.5111,13.0583
recorded_ped_4,3.2,18.6426,12.871
recorded_ped_4,3.6,18.8398,12.654
recorded_ped_4,4.0,18.949,12.3392
recorded_ped_4,4.4,19.0044,11.9904
recorded_ped_4,4.8,19.0734,11.5538
recorded_ped_4,5.2,19.0109,11.0739
recorded_ped_4,5.6,18.9313,10.5916
recorded_ped_4,6.0,18.9037,10.059
recorded_ped_5,0.0,18.5017,12.8817
recorded_ped_5,0.4,18.4666,12.4512
recorded_ped_5,0.8,18.4207,12.1061
recorded_ped_5,1.2,18.4627,11.8716
recorded_ped_5,1.6,18.4002,11.8802
recorded_ped_5,2.0,18.3693,11.9035
recorded_ped_5,2.4,18.3864,11.9136
recorded_ped_5,2.8,18.3941,11.9031
recorded_ped_5,3.2,18.3706,11.843
recorded_ped_5,3.6,18.3746,11.6166
recorded_ped_5,4.0,18.4864,11.282
recorded_ped_5,4.4,18.4604,10.8746
recorded_ped_5,4.8,18.3888,10.4529
recorded_ped_5,5.2,18.4456,9.9783
recorded_ped_5,5.6,18.4105,9.4841
recorded_ped_5,6.0,18.3138,8.9781
recorded_ped_6,0.0,19.7946,12.034
recorded_ped_6,0.4,19.8332,11.5452
recorded_ped_6,0.8,19.8718,11.0893
recorded_ped_6,1.2,19.8547,10.8927
recorded_ped_6,1.6,19.8451,10.8289
recorded_ped_6,2.0,19.923,10.802
recorded_ped_6,2.4,20.0073,10.7909
recorded_ped_6,2.8,20.0458,10.779
recorded_ped_6,3.2,20.0857,10.7719
recorded_ped_6,3.6,20.1152,10.7507
recorded_ped_6,4.0,20.114,10.6097
recorded_ped_6,4.4,20.1097,10.2827
recorded_ped_6,4.8,20.2115,9.8637
recorded_ped_6,5.2,20.3028,9.3972
recorded_ped_6,5.6,20.3541,8.9323
recorded_ped_6,6.0,20.4474,8.4097
recorded_ped_7,0.0,18.1763,11.4544
recorded_ped_7,0.4,18.2763,10.9366
recorded_ped_7,0.8,18.319,10.3723
recorded_ped_7,1.2,18.3655,9.6713
recorded_ped_7,1.6,18.3985,8.8225
recorded_ped_7,2.0,18.3641,7.9863
recorded_ped_7,2.4,18.3935,7.1714
recorded_ped_7,2.8,18.4719,6.4303
recorded_ped_7,3.2,18.5865,5.8223
recorded_ped_7,3.6,18.6782,5.2388
recorded_ped_7,4.0,18.8081,4.7045
recorded_ped_7,4.4,18.8363,4.1558
recorded_ped_7,4.8,18.9177,3.6334
recorded_ped_7,5.2,18.9393,3.0658
recorded_ped_7,5.6,18.9424,2.5008
recorded_ped_7,6.0,18.9672,1.9382
recorded_ped_8,0.0,19.2068,14.1605
recorded_ped_8,0.4,19.0391,13.8623
recorded_ped_8,0.8,18.9599,13.5909
recorded_ped_8,1.2,18.9573,13.1885
recorded_ped_8,1.6,18.8525,12.8213
recorded_ped_8,2.0,18.7968,12.4692
recorded_ped_8,2.4,18.9181,12.1126
recorded_ped_8,2.8,18.9852,11.8162
recorded_ped_8,3.2,18.9637,11.5233
recorded_ped_8,3.6,19.0042,11.2562
recorded_ped_8,4.0,19.0645,10.8994
recorded_ped_8,4.4,19.0498,10.3671
recorded_ped_8,4.8,19.0831,9.7756
recorded_ped_8,5.2,19.0941,9.1482
recorded_ped_8,5.6,19.0766,8.5181
recorded_ped_8,6.0,19.1415,7.8936
planner_ego_single,0.1,30.8777,8.5698
planner_ego_single,0.2,30.6584,8.5599
planner_ego_single,0.3,30.4393,8.5507
planner_ego_single,0.4,30.2206,8.5426
planner_ego_single,0.5,30.0025,8.5357
planner_ego_single,0.6,29.7848,8.5295
planner_ego_single,0.7,29.5675,8.5232
planner_ego_single,0.8,29.3507,8.5161
planner_ego_single,0.9,29.1348,8.5075
planner_ego_single,1.0,28.9195,8.4971
planner_ego_single,1.1,28.705,8.4852
planner_ego_single,1.2,28.4911,8.4729
planner_ego_single,1.3,28.278,8.4611
planner_ego_single,1.4,28.0654,8.4506
planner_ego_single,1.5,27.853,8.442
planner_ego_single,1.6,27.6406,8.436
planner_ego_single,1.7,27.4279,8.432
planner_ego_single,1.8,27.2149,8.4289
planner_ego_single,1.9,27.0014,8.4255
planner_ego_single,2.0,26.7877,8.4203
planner_ego_single,2.1,26.5737,8.4122
planner_ego_single,2.2,26.3594,8.4005
planner_ego_single,2.3,26.1446,8.3856
planner_ego_single,2.4,25.9292,8.368
planner_ego_single,2.5,25.7128,8.3484
planner_ego_single,2.6,25.4956,8.3272
planner_ego_single,2.7,25.2777,8.3053
planner_ego_single,2.8,25.0592,8.2825
planner_ego_single,2.9,24.8401,8.259
planner_ego_single,3.0,24.6201,8.2345
planner_ego_single,3.1,24.3995,8.2091
planner_ego_single,3.2,24.1779,8.1825
planner_ego_single,3.3,23.9551,8.1552
planner_ego_single,3.4,23.7307,8.1276
planner_ego_single,3.5,23.5047,8.1005
planner_ego_single,3.6,23.2769,8.0745
planner_ego_single,3.7,23.0471,8.0502
planner_ego_single,3.8,22.8159,8.028
planner_ego_single,3.9,22.5834,8.0076
planner_ego_single,4.0,22.3498,7.9887
planner_ego_single,4.1,22.115,7.971
planner_ego_single,4.2,21.8791,7.9542
planner_ego_single,4.3,21.6422,7.938
planner_ego_single,4.4,21.4039,7.9221
planner_ego_single,4.5,21.1646,7.9063
planner_ego_single,4.6,20.9249,7.8906
planner_ego_single,4.7,20.7175,7.877
planner_ego_single,4.8,20.5407,7.8653
planner_ego_single,4.9,20.3924,7.8556
planner_ego_single,5.0,20.2712,7.8476
planner_ego_single,5.1,20.1763,7.8414
planner_ego_single,5.2,20.1013,7.8364
planner_ego_single,5.3,20.0463,7.8328
planner_ego_single,5.4,20.0216,7.8312
planner_ego_single,5.5,20.0169,7.8309
planner_ego_robust,0.1,30.8777,8.5698
planner_ego_robust,0.2,30.6585,8.5599
planner_ego_robust,0.3,30.4399,8.5508
planner_ego_robust,0.4,30.2221,8.5427
planner_ego_robust,0.5,30.0054,8.5361
planner_ego_robust,0.6,29.7901,8.5307
