ped_arm,pred,plan,n_runs,n_encounters,n_collision_runs,n_goal_reached,n_censored,min_dist_m_mean,min_dist_m_std,min_ttc_s_mean,min_ttc_s_std,collision_count_mean,collision_count_std,time_s_mean,time_s_std,progress_mean,progress_std,ego_dev_mean_m_mean,ego_dev_mean_m_std,rms_jerk_mean,rms_jerk_std,mean_accel_mean,mean_accel_std
avec,cv,robust,26,26,0,8,18,2.9172,1.6213,1.7209,1.3261,0.0,0.0,7.5462,3.0491,0.5811,0.1969,3.7174,2.9215,0.967,0.9665,0.2507,0.1924
avec,cv,single,26,26,0,8,18,2.9172,1.6213,1.7209,1.3261,0.0,0.0,7.5462,3.0491,0.5811,0.1969,3.7174,2.9215,0.967,0.9665,0.2507,0.1924
avec,lstm,robust,130,26,0,17,113,4.4182,1.563,2.873,1.2082,0.0,0.0,8.3992,2.8458,0.4541,0.2097,4.8337,3.4614,1.3569,1.0443,0.2951,0.165
avec,lstm,single,130,26,0,33,97,3.4818,1.609,2.1375,1.3127,0.0,0.0,7.8815,2.9365,0.5194,0.2083,4.1409,3.1099,1.6081,1.2265,0.3145,0.1997
avec,sgan,robust,130,26,0,21,109,4.0241,1.5366,2.6679,1.2243,0.0,0.0,8.2731,2.908,0.4698,0.1987,4.5587,3.0414,1.2177,0.9448,0.2929,0.1805
avec,sgan,single,130,26,0,33,97,3.3285,1.5477,1.977,1.2383,0.0,0.0,7.9038,2.852,0.5309,0.204,4.0314,3.0123,1.633,1.2757,0.309,0.1991
calib,cv,robust,26,26,1,8,17,2.9067,1.6448,1.694,1.378,0.0385,0.1961,7.5423,3.0505,0.5816,0.1966,3.7125,2.9171,0.9705,0.9688,0.2507,0.1923
calib,cv,single,26,26,1,8,17,2.9067,1.6448,1.694,1.378,0.0385,0.1961,7.5423,3.0505,0.5816,0.1966,3.7125,2.9171,0.9705,0.9688,0.2507,0.1923
calib,lstm,robust,130,26,4,19,107,4.4423,1.5852,2.8607,1.2641,0.0308,0.1734,8.3654,2.8296,0.453,0.2113,4.8422,3.4707,1.3803,1.038,0.3,0.1686
calib,lstm,single,130,26,5,33,92,3.4804,1.6314,2.1267,1.3544,0.0385,0.1931,7.8531,2.9165,0.5211,0.2085,4.0844,3.0711,1.5834,1.2343,0.3102,0.1981
calib,sgan,medoid,130,26,10,39,81,3.1252,1.5696,1.8397,1.3216,0.0769,0.2675,7.5185,2.9659,0.5571,0.1983,3.7339,2.8725,1.4936,1.4686,0.2993,0.1956
calib,sgan,robust,130,26,10,21,99,4.0313,1.5618,2.6472,1.2996,0.0769,0.2675,8.24,2.8908,0.4713,0.1987,4.4966,2.9964,1.22,0.9538,0.2918,0.1819
