ped_arm,pred,enc_id,n_seeds,min_dist_single_m,min_dist_robust_m,delta_m
replay,cv,vci_back__back_interaction_01__e00,1,1.485841,1.485841,0.0
replay,cv,vci_back__back_interaction_02__e00,1,1.454863,1.454863,0.0
replay,cv,vci_back__back_interaction_03__e00,1,1.650621,1.650621,0.0
replay,cv,vci_back__back_interaction_04__e00,1,1.56866,1.56866,0.0
replay,cv,vci_front__front_interaction_01__e00,1,1.28608,1.28608,0.0
replay,cv,vci_front__front_interaction_02__e00,1,1.238352,1.238352,0.0
replay,cv,vci_front__front_interaction_03__e00,1,1.29213,1.29213,0.0
replay,cv,vci_front__front_interaction_04__e00,1,1.186716,1.186716,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_01__e00,1,2.369132,2.369132,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_02__e00,1,5.048812,5.048812,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_03__e00,1,6.658875,6.658875,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_04__e00,1,1.228591,1.228591,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_05__e00,1,4.394482,4.394482,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_06__e00,1,4.912429,4.912429,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_07__e00,1,4.215296,4.215296,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_08__e00,1,2.163577,2.163577,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_09__e00,1,2.711162,2.711162,0.0
replay,cv,vci_lat_bi__bidirection_normal_driving_10__e00,1,3.069957,3.069957,0.0
replay,cv,vci_lat_uni__unidirection_normal_driving_01__e00,1,6.465358,6.465358,0.0
replay,cv,vci_lat_uni__unidirection_normal_driving_02__e00,1,1.872007,1.872007,0.0
replay,cv,vci_lat_uni__unidirection_normal_driving_03__e00,1,1.260568,1.260568,0.0
replay,cv,vci_lat_uni__unidirection_normal_driving_04__e00,1,1.218047,1.218047,0.0
replay,cv,vci_lat_uni__unidirection_yeild_01__e00,1,5.185155,5.185155,0.0
replay,cv,vci_lat_uni__unidirection_yeild_02__e00,1,2.167723,2.167723,0.0
replay,cv,vci_lat_uni__unidirection_yeild_03__e00,1,5.448834,5.448834,0.0
replay,cv,vci_lat_uni__unidirection_yeild_04__e00,1,5.306334,5.306334,0.0
replay,lstm,vci_back__back_interaction_01__e00,5,2.169105,2.741648,0.572542
replay,lstm,vci_back__back_interaction_02__e00,5,1.654369,3.052992,1.398623
replay,lstm,vci_back__back_interaction_03__e00,5,1.730842,3.009518,1.278676
replay,lstm,vci_back__back_interaction_04__e00,5,1.830535,3.237162,1.406627
replay,lstm,vci_front__front_interaction_01__e00,5,1.21999,1.86768,0.64769
replay,lstm,vci_front__front_interaction_02__e00,5,1.264211,1.642117,0.377906
replay,lstm,vci_front__front_interaction_03__e00,5,1.315276,1.214614,-0.100662
replay,lstm,vci_front__front_interaction_04__e00,5,1.245777,1.221565,-0.024212
replay,lstm,vci_lat_bi__bidirection_normal_driving_01__e00,5,2.546369,4.027615,1.481246
replay,lstm,vci_lat_bi__bidirection_normal_driving_02__e00,5,4.459071,6.48959,2.030519
replay,lstm,vci_lat_bi__bidirection_normal_driving_03__e00,5,6.658875,6.658875,0.0
replay,lstm,vci_lat_bi__bidirection_normal_driving_04__e00,5,2.737766,4.160958,1.423192
replay,lstm,vci_lat_bi__bidirection_normal_driving_05__e00,5,6.294629,6.373438,0.078809
replay,lstm,vci_lat_bi__bidirection_normal_driving_06__e00,5,4.91508,5.737168,0.822088
replay,lstm,vci_lat_bi__bidirection_normal_driving_07__e00,5,4.215296,4.215296,0.0
replay,lstm,vci_lat_bi__bidirection_normal_driving_08__e00,5,3.349883,4.045074,0.695192
replay,lstm,vci_lat_bi__bidirection_normal_driving_09__e00,5,3.055772,4.369909,1.314137
replay,lstm,vci_lat_bi__bidirection_normal_driving_10__e00,5,3.760273,5.889855,2.129581
replay,lstm,vci_lat_uni__unidirection_normal_driving_01__e00,5,6.369797,5.839012,-0.530786
replay,lstm,vci_lat_uni__unidirection_normal_driving_02__e00,5,1.280105,2.28042,1.000315
replay,lstm,vci_lat_uni__unidirection_normal_driving_03__e00,5,1.217344,3.986834,2.769491
