ped_arm,pred,n_pairs,n_robust_gt_single,mean_delta_m,sign_p,wilcoxon_p,single_coll_encs,robust_coll_encs,n_time_pairs,mean_time_cost_s
replay,cv,26,0,0.0,,,7,7,8,0.0
replay,lstm,26,20,0.8623,0.00048828125,0.00012695899968328866,8,3,3,0.0
replay,sgan,26,20,0.7808,0.00048828125,0.00020674875367998944,8,4,4,0.065
calib,cv,26,0,0.0,,,1,1,8,0.0
calib,lstm,26,22,0.9619,3.5881996154785156e-05,0.00012888922553538855,1,1,3,0.0
calib,sgan,26,19,0.7094,0.0008554458618164062,0.00017698793982282913,2,2,4,0.005
avec,cv,26,0,0.0,,,0,0,8,0.0
avec,lstm,26,22,0.9364,3.5881996154785156e-05,0.00012888922553538855,0,0,3,0.0
avec,sgan,26,20,0.6956,0.00012111663818359375,0.00013634079670182605,0,0,4,0.005
norep,cv,26,0,0.0,,,2,2,8,0.0
norep,lstm,26,20,0.9832,0.001543879508972168,0.00018193967516985754,4,2,3,0.0
norep,sgan,26,21,0.7543,1.0967254638671875e-05,9.149289441295772e-05,4,2,4,0.01
calib13x,cv,26,0,0.0,,,2,2,8,0.0
calib13x,lstm,26,19,0.9913,0.01463329792022705,0.00044583366008156235,4,3,5,0.076
calib13x,sgan,26,20,0.5475,0.00012111663818359375,0.00020134977414522508,4,2,4,0.01
